[2018-12-02 22:24:16] log.DEBUG: -> successfully loaded cfg:[{"download-pool-size":"5","videoQualityStrategy":"best","thumbResolution":"high","access":["private","public","unlisted"],"tags":["classical","folk","piano"],"startdate":"2014-01-01","enddate":"2019-01-01","tagCountThreshold":"2","force-override":"true","channelid":"UCSuhUzpdXg9jme6eN6HA_IA","directorySaveStrategy":"bundle","api-key":"AIzaSyCLYc0OBUVZFzdF8kFmv7bqyfIynd-D8L8","video-csv-name":"\/..\/output\/videos.csv","video-csv-delimiter":",","channel-csv-name":"\/..\/output\/channel.csv","channel-csv-delimiter":",","playlist-csv-name":"\/..\/output\/playlist.csv","playlist-csv-delimiter":",","video-meta-mapping":{"id":"id","publishedAt":"snippet.publishedAt","duration":"contentDetails.duration","privacyStatus":"status.privacyStatus","viewCount":"statistics.viewCount","tagCount":"snippet.tags","title":"snippet.title","thumbUrl":"snippet.thumbnails.default.url","commentCount":"statistics.commentCount","likeCount":"statistics.likeCount","dislikeCount":"statistics.dislikeCount","favoriteCount":"statistics.favoriteCount","description":"snippet.description","tags":"snippet.tags","fileName":"fileDetails.fileName","definition":"contentDetails.definition","caption":"contentDetails.caption","licensecontent":"contentDetails.licensedContent"},"playlist-meta-mapping":{"id":"id","publishedAt":"snippet.publishedAt","viewCount":"statistics.viewCount","privacyStatus":"status.privacyStatus","title":"snippet.title","description":"snippet.description","channelTitle":"snippet.channelTitel","thumbUrl":"snippet.thumbnails.default.url"},"channel-meta-mapping":{"id":"id","publishedAt":"snippet.publishedAt","duration":"contentDetails.duration","playlist-uploads":"contentDetails.relatedPlaylists.uploads","playlist-watchHistory":"contentDetails.relatedPlaylists.watchHistory","playlist-watchLater":"contentDetails.relatedPlaylists.watchLater","viewCount":"statistics.viewCount","commentCount":"statistics.commentCount","subscriberCount":"statistics.subscriberCount","hiddenSubscriberCount":"statistics.hiddenSubscriberCount","videoCount":"statistics.videoCount","title":"snippet.title","description":"snippet.description","thumbUrl":"snippet.thumbnails.default.url"}}] [] []
[2018-12-02 22:24:16] log.DEBUG: Found id['olMPeiqoiic'] [] []
[2018-12-02 22:24:16] log.DEBUG: Found id['ctBqW5e16YM'] [] []
[2018-12-02 22:24:16] log.DEBUG: Found id['C2Avpt9FKP0'] [] []
[2018-12-02 22:24:16] log.DEBUG: Found id['iCEDfZgDPS8'] [] []
[2018-12-02 22:24:16] log.DEBUG: Found id['anxdAcilnsM'] [] []
[2018-12-02 22:24:16] log.DEBUG: Found id['olMPeiqoiic'] [] []
[2018-12-02 22:24:16] log.DEBUG: Found id['ctBqW5e16YM'] [] []
[2018-12-02 22:24:16] log.DEBUG: Found id['C2Avpt9FKP0'] [] []
[2018-12-02 22:24:16] log.DEBUG: Found id['iCEDfZgDPS8'] [] []
[2018-12-02 22:24:16] log.DEBUG: Found id['anxdAcilnsM'] [] []
[2018-12-02 22:24:16] log.INFO: --> parsing download items ['5'] Thumbnail Items and ['5'] Video Items [] []
[2018-12-02 22:24:16] log.INFO: --> ['1'] fetched meta data for item with type ['THUMBNAIL_TYPE'] id ['olMPeiqoiic'] [] []
[2018-12-02 22:24:16] log.INFO: --> ['2'] fetched meta data for item with type ['THUMBNAIL_TYPE'] id ['ctBqW5e16YM'] [] []
[2018-12-02 22:24:16] log.INFO: --> ['3'] fetched meta data for item with type ['THUMBNAIL_TYPE'] id ['C2Avpt9FKP0'] [] []
[2018-12-02 22:24:16] log.INFO: --> ['4'] fetched meta data for item with type ['THUMBNAIL_TYPE'] id ['iCEDfZgDPS8'] [] []
[2018-12-02 22:24:17] log.INFO: --> ['5'] fetched meta data for item with type ['THUMBNAIL_TYPE'] id ['anxdAcilnsM'] [] []
[2018-12-02 22:24:17] log.INFO: --> ['6'] fetched meta data for item with type ['VIDEO_TYPE'] id ['olMPeiqoiic'] [] []
[2018-12-02 22:24:17] log.INFO: --> ['7'] fetched meta data for item with type ['VIDEO_TYPE'] id ['ctBqW5e16YM'] [] []
[2018-12-02 22:24:17] log.INFO: --> ['8'] fetched meta data for item with type ['VIDEO_TYPE'] id ['C2Avpt9FKP0'] [] []
[2018-12-02 22:24:17] log.INFO: --> ['9'] fetched meta data for item with type ['VIDEO_TYPE'] id ['iCEDfZgDPS8'] [] []
[2018-12-02 22:24:17] log.INFO: --> ['10'] fetched meta data for item with type ['VIDEO_TYPE'] id ['anxdAcilnsM'] [] []
[2018-12-02 22:24:17] log.INFO: ---> start to fetch thumbnails [] []
[2018-12-02 22:24:18] log.INFO: ---> start to fetch videos [] []
[2018-12-02 22:25:11] log.INFO: --> scraping youtube channel ['UCSuhUzpdXg9jme6eN6HA_IA']. depending of the content volume this can take a while... [] []
[2018-12-02 22:25:12] log.INFO: --> ready to scrape ['50'] video Items and ['4'] playlist Items and ['1'] channel Items [] []
[2018-12-02 22:25:12] log.INFO: --> ['11'] fetched meta data for item with type ['PLAYLIST_TYPE'] id ['PLVX_ojm9zPq7BJvC6VGeeY0f8ruvo8efr'] [] []
[2018-12-02 22:25:13] log.INFO: --> ['12'] fetched meta data for item with type ['PLAYLIST_TYPE'] id ['PLVX_ojm9zPq48r2cBcDuk6-EJZaHLDmJC'] [] []
[2018-12-02 22:25:13] log.INFO: --> ['13'] fetched meta data for item with type ['PLAYLIST_TYPE'] id ['PLVX_ojm9zPq65UtPsWIBZ7GIFRdpPoX4F'] [] []
[2018-12-02 22:25:13] log.INFO: --> ['14'] fetched meta data for item with type ['PLAYLIST_TYPE'] id ['PLVX_ojm9zPq4lYgWngSr-G5Pczfr6yxyY'] [] []
[2018-12-02 22:25:13] log.INFO: --> ['15'] fetched meta data for item with type ['VIDEO_TYPE'] id ['guGA2S_4ogA'] [] []
[2018-12-02 22:25:13] log.INFO: --> ['16'] fetched meta data for item with type ['VIDEO_TYPE'] id ['OlIkGlTMUNE'] [] []
